cluster_label,Doc Frequency,Doc %,Total Statements
Mother Liquor Decantation,3,16.7,4
Warm Ash Dissolution,3,16.7,3
White Stage Heating,3,16.7,3
Virgin Earth Purification,3,16.7,3
Universal Solvent Capability,3,16.7,3
Ash Bath Heating,2,11.1,3
Aqua Basilii Ontology,2,11.1,2
Bolus Source Location,2,11.1,2
Water Addition Prohibition,2,11.1,2
Balneum Conversion Method,2,11.1,2
Ball Formation Process,2,11.1,2
Materia Collection Timing,2,11.1,3
Lye Concentration Process,2,11.1,2
Lapis Ferment Definition,2,11.1,2
Weathered Earth Storage,2,11.1,2
Phoenix Transformation Phase,2,11.1,2
Potable Gold Identification,2,11.1,3
Prima Materia Definition,2,11.1,3
Philosophical Procedure Continuation,2,11.1,3
Perforated Ball Transfer,2,11.1,3
Philosophical Nitrum Description,2,11.1,2
Oven Placement Instruction,2,11.1,2
Optimal Atmospheric Conditions,2,11.1,2
Multiplication Repeatability,2,11.1,2
Nitrum Quality Standard,2,11.1,2
Medicine Multiplication Method,2,11.1,2
Medicinal Utility ID,2,11.1,2
Spirit Rectification Bath,2,11.1,2
Stone Purification Process,2,11.1,2
Dissolution Prediction Claim,2,11.1,2
Dosage Administration Instruction,2,11.1,2
Silver Dissolution Capability,2,11.1,2
Solution Filtration Seal,2,11.1,2
Sublimation Cooling Down,2,11.1,3
Sublimation Storage Process,2,11.1,2
Transmutation Potency Description,2,11.1,2
Zodiacal Earth Sourcing,2,11.1,2
Sunrise Meadow Travel,2,11.1,2
Concentration Evaporation,2,11.1,2
Process Authentication Claim,2,11.1,2
Philosophical Milk Coagulation,2,11.1,2
Filtration and Placement,2,11.1,2
Heat Color Prediction,2,11.1,3
Product Storage Protection,2,11.1,2
Purification Justification Theory,2,11.1,2
Purity Standard Definition,2,11.1,2
Purified Spirit Storage,2,11.1,2
Purity Sublimation Repetition,2,11.1,2
Putrefaction Duration,2,11.1,2
Earth Barrel Transfer,2,11.1,2
Sand Burial Process,2,11.1,2
Receiver Setup Constraint,2,11.1,2
Recipe Instruction Intro,2,11.1,2
Dew Multiplication Method,2,11.1,2
Extended Cooking Cycle,2,11.1,3
Ethical Usage Guidelines,2,11.1,2
Elemental Deposition Theory,2,11.1,2
Earth Residue Sublimation,2,11.1,2
Earth Impregnation Intro,2,11.1,2
Sunlight Precipitation,2,11.1,2
Color Process Solution,2,11.1,2
Celestial Exposure Theory,2,11.1,3
Brittleness Transmutation Claim,2,11.1,2
Luna Appearance Phase,1,5.6,1
Lute Drying Process,1,5.6,1
Water Draining Step,1,5.6,1
White Precipitate Separation,1,5.6,1
Alembic Attachment Process,1,5.6,1
Alchemical Transformation Description,1,5.6,1
Application Scope Definition,1,5.6,1
Ash Rectification Repetition,1,5.6,1
Balneo Justification Theory,1,5.6,1
Astrological Harvesting Conditions,1,5.6,2
Volatility Fixation Test,1,5.6,1
Warm Place Storage,1,5.6,1
Phlegma Separation Process,1,5.6,1
Philosophical Stone Addition,1,5.6,2
Phoenix First Multiplication,1,5.6,1
Paracelsus Reference Note,1,5.6,1
Phial Removal Sign,1,5.6,1
Partial Barrel Filling,1,5.6,1
Moon Rise White Stage,1,5.6,2
Mother Lye Selection,1,5.6,1
Ore Growth Observation,1,5.6,1
Open Sky Exposure,1,5.6,1
Non-Fermentation Reserve,1,5.6,1
Oil Harvesting Step,1,5.6,1
Medical Application Claim,1,5.6,1
Metal Projection Preparation,1,5.6,1
Matter Yellowing Phase,1,5.6,1
Material Division Step,1,5.6,1
Gold Sulfur Oil Mix,1,5.6,1
Glass Storage Warning,1,5.6,1
Fixation Volatilization Claim,1,5.6,1
Final Product Status,1,5.6,1
Final Gold Product,1,5.6,1
Quantity Accumulation,1,5.6,1
Projection Requirement Definition,1,5.6,1
Purity Endpoint Definition,1,5.6,1
Labor Continuation Warning,1,5.6,1
Growth Allegorical Conditions,1,5.6,1
Heat Type Justification,1,5.6,1
Imbibition Cycle Process,1,5.6,1
Impregnation Stirring,1,5.6,2
Infinite Augmentation Claim,1,5.6,1
Joint Luting Process,1,5.6,1
King's Purification Metaphor,1,5.6,1
Process Endpoint Condition,1,5.6,2
Product Cooling Preservation,1,5.6,1
Process Warning Note,1,5.6,1
Process Rejection History,1,5.6,2
Process Continuation Advisory,1,5.6,1
Process Definition Statement,1,5.6,2
Process Completion Confirmation,1,5.6,1
Great Work Intro,1,5.6,1
Philosophical Egg Digestion,1,5.6,2
Philosophical Gran Standard,1,5.6,1
Repeated Standing Period,1,5.6,1
Red Powder Extraction,1,5.6,2
Sal Terrae Properties,1,5.6,2
Residue Transformation Limit,1,5.6,1
Faeces Separation Step,1,5.6,1
Excrement Separation Justification,1,5.6,1
Solution Strength Explanation,1,5.6,1
Slow Drying Process,1,5.6,1
Secret Weight Justification,1,5.6,1
Sharpness Extraction Purpose,1,5.6,1
Secrecy Instruction Note,1,5.6,1
Sand Heating Redness,1,5.6,3
Dyeing Potency Claim,1,5.6,1
Dry Wet Path Comparison,1,5.6,2
Drainage Tap Opening,1,5.6,1
Dry Water Confirmation,1,5.6,1
Earth Material Requirements,1,5.6,1
Fat Earth Nature,1,5.6,1
Brittle Product Crushing,1,5.6,1
Substance Identity Claim,1,5.6,1
State Transformation Description,1,5.6,1
Broth Transformation Prediction,1,5.6,1
Composition Detail Reference,1,5.6,1
Cold Place Storage,1,5.6,2
Coagulation Observation,1,5.6,1
Chemical Transformation Prediction,1,5.6,1
Terra Bowl Placement,1,5.6,1
Terra Precipitation Step,1,5.6,1
Composition Repetition Procedure,1,5.6,3
Covered Standing Period,1,5.6,1
Therapeutic Effects Description,1,5.6,1
Theoretical Component ID,1,5.6,1
Three Parts Reunion,1,5.6,1
Tinging Power Claim,1,5.6,1
Tinging Ratio Limit,1,5.6,1
Tinging Ratio Execution,1,5.6,1
Transformation Scaling Power,1,5.6,1
Total Work Duration,1,5.6,1
